Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
0.5,65.07481,0.00556,0.08337,6.41953,2,2
0.6,75.45148,0.00667,0.1,7.44318,2,2
0.7,85.87734,0.00777,0.11662,8.47167,2,2
0.8,96.28039,0.00889,0.13331,9.49792,2,2
0.9,106.45786,0.01,0.15006,10.50191,2,2
1,116.47193,0.01111,0.16662,11.48978,2,2
1.1,126.58058,0.01221,0.18312,12.48699,2,2
1.2,136.4227,0.01334,0.20006,13.4579,2,2
1.3,146.54768,0.01444,0.21662,14.45671,2,2
1.4,155.97522,0.01555,0.23319,15.38672,2,2
1.5,165.3101,0.01666,0.24987,16.3076,2,2
1.6,175.11952,0.01778,0.26675,17.27528,2,2
1.7,184.45082,0.01889,0.28337,18.1958,2,2
1.8,193.59955,0.01999,0.29987,19.09831,2,2
1.9,202.57393,0.02111,0.31669,19.98362,2,2
2,211.57663,0.02222,0.33337,20.87172,2,2
2.1,220.39351,0.02333,0.35,21.74149,2,2
2.2,211.01465,0.02444,0.36662,20.81628,2,2
2.3,221.27386,0.02555,0.38331,21.82834,2,2
2.4,230.65775,0.02667,0.40006,22.75404,2,2
2.5,239.62131,0.02777,0.41662,23.63829,2,2
2.6,248.23558,0.02887,0.43312,24.48807,2,2
2.7,256.86938,0.03,0.45006,25.33978,2,2
2.8,265.16501,0.03111,0.46669,26.15813,2,2
2.9,273.03543,0.03222,0.48331,26.93454,2,2
3,281.38745,0.03333,0.5,27.75845,2,2
3.1,289.2319,0.03445,0.51675,28.5323,2,2
3.2,296.92401,0.03555,0.53331,29.29111,2,2
3.3,304.67288,0.03666,0.54994,30.05553,2,2
3.4,312.00735,0.03777,0.56662,30.77906,2,2
3.5,319.42789,0.0389,0.58344,31.51109,2,2
3.6,326.66223,0.04,0.6,32.22474,2,2
3.7,333.26883,0.0411,0.6165,32.87648,2,2
3.8,340.57089,0.04222,0.63337,33.59681,2,2
3.9,347.13574,0.04334,0.65006,34.24443,2,2
4,353.62347,0.04444,0.66656,34.88443,2,2
4.1,360.22327,0.04555,0.68319,35.53549,2,2
4.2,366.26099,0.04667,0.7,36.1311,2,2
4.3,372.51938,0.04778,0.71675,36.74848,2,2
4.4,378.26013,0.04889,0.73331,37.3148,2,2
4.5,383.89627,0.04999,0.74987,37.8708,2,2
4.6,389.78757,0.05112,0.76681,38.45197,2,2
4.7,394.86121,0.05222,0.78331,38.95247,2,2
4.8,399.87531,0.05332,0.79987,39.44711,2,2
4.9,404.78568,0.05445,0.81675,39.93151,2,2
5,409.75739,0.05556,0.83337,40.42196,2,2
5.1,414.16888,0.05667,0.85006,40.85714,2,2
5.2,418.51526,0.05777,0.86656,41.28591,2,2
5.3,422.65042,0.05889,0.88331,41.69384,2,2
5.4,426.20663,0.06001,0.90019,42.04465,2,2
5.5,429.90247,0.06111,0.91662,42.40924,2,2
5.6,433.24759,0.06221,0.93319,42.73923,2,2
5.7,436.32794,0.06334,0.95012,43.0431,2,2
5.8,439.03329,0.06445,0.96669,43.30998,2,2
5.9,441.56158,0.06555,0.98331,43.55939,2,2
6,443.79364,0.06667,1,43.77958,2,2
6.1,445.80322,0.06777,1.01662,43.97783,2,2
6.2,447.5798,0.06889,1.03337,44.15308,2,2
6.3,448.85281,0.07,1.05,44.27866,2,2
6.4,449.91647,0.07111,1.06669,44.38359,2,2
6.5,450.84433,0.07223,1.08344,44.47512,2,2
6.6,451.2384,0.07333,1.1,44.514,2,2
6.7,451.47733,0.07444,1.11656,44.53757,2,2
6.8,451.66061,0.07556,1.13337,44.55565,2,2
